"ARTICLECODE","GRPCODE"
53923,2044
53931,1495
53936,2652
53941,2045
53965,1971
53968,1961
53978,5815
32424,565
32443,2204
32453,743
32460,1493
32464,4670
43175,1483
43200,315
43209,2201
43231,2031
43244,2005
43249,2266
43250,2266
43265,1941
43271,565
43273,2389
43274,2389
43277,1378
43282,565
43284,1556
17953,412
13299,406
18370,942
51214,1497
51217,1968
51218,4078
26802,1497
26807,2660
26825,315
26832,1497
26834,3809
26861,1495
26866,743
26878,1483
26896,1483
26919,1807
20023,250
15424,5658
2875,50
16504,48
17827,2375
15639,5692
17155,5641
18349,1101
15447,114
49242,2326
49243,2326
49254,1318
49257,4076
49262,1495
49263,1952
49268,4078
49269,1497
49270,1497
49271,1513
49292,2326
49294,2651
35195,5235
35199,5235
35260,5235
17909,288
34018,1483
34037,2326
34042,1483
34068,2430
34069,2301
34070,2274
34075,1536
34082,2433
34113,2224
34121,2430
34132,723
34142,2200
34161,1497
34174,1642
34186,1959
34196,1536
34204,1821
34222,1497
34229,565
34260,719
34277,1497
15543,5684
23702,1961
2041,2041
2166,2166
2243,347
2255,2255
17811,455
17308,158
20128,5237
20129,5237
41736,5701
16502,51
15415,5645
16882,430
16891,2382
4915,2224
4924,1483
4946,1482
4976,1489
4977,1489
5013,1583
5022,2202
5027,2627
5063,1821
5096,1497
5098,743
5128,743
5145,1497
5162,2627
5171,1378
5182,4078
5369,1961
5377,2451
5378,2451
17926,45
16291,2631
16319,1944
16365,2718
16439,1821
16447,2201
16457,2114
39948,5596
39959,5596
39966,5596
39969,5596
39971,5596
39979,5596
39980,5596
39987,5591
40013,702
28935,4488
28693,1483
28721,1497
28802,1378
28804,1378
28806,1378
28816,1483
28867,1378
28895,1483
28903,2114
28908,2205
28919,2224
28933,4488
31768,1513
31772,1959
31784,1961
31816,1483
31830,1495
31879,4078
31918,1378
31923,2223
33393,686
33397,2201
33402,1483
33459,1556
33460,1483
33532,2720
33534,1536
33547,743
33569,743
33585,565
33609,719
33618,2462
33635,1807
33636,1807
20021,1512
14333,2201
14353,2274
14356,2274
14381,2201
14399,1951
14407,2041
14419,715
14580,2201
14599,2166
14707,1972
14713,2166
14736,2228
14814,1495
14830,2114
15143,2166
17421,2591
18226,2673
32909,5671
26990,5683
42733,384
45308,4197
45313,5591
45322,2223
45359,1483
45385,1495
45386,2204
45413,1495
45455,2627
45465,2114
45466,275
45472,1495
45479,2224
45503,2462
45513,1495
45514,1483
45518,1493
45541,2223
45554,709
45578,2044
45580,1483
45601,2462
45604,566
45625,315
45640,1941
45656,2462
45677,1941
45679,2111
45681,2223
45683,1495
18136,152
18169,2473
19561,1787
29230,1536
29237,1483
29281,1821
29282,1483
29299,1959
29315,1968
29316,1971
29317,1971
29318,2326
13137,1495
13138,2425
13154,743
13160,719
13169,5665
686,686
10360,1941
10379,2433
10397,1941
10410,1941
10412,1941
10428,565
10446,1941
10459,1972
10465,343
10473,2462
10474,2462
10515,2638
10518,315
10537,745
10539,745
10558,2046
10569,2041
10574,2041
10582,715
10597,2041
10603,2164
10604,1965
