GRPNAME,GRPCODE,SECTIONCODE
Shampoo,1483,1468
Drinks Concentrates,2433,2414
Casual Shirt[M],19,457
Casual Trouser[M],51,460
Pooja Needs,2297,2269
Digestive Food,2451,2450
Lunch Box[T],2272,5745
Muffler [M],942,464
Sunflower Oil,2630,2617
Fusion Palazzo[L],5521,5775
Casual Chappal[L],162,175
Set[C],649,2314
Synthetic Saree[L],1512,1844
Tray[C],844,5735
Other Outdoor Sports,5768,3580
Pure Ghee,1952,2617
Detergent Liquids,1318,2269
Sipper(I),201,5751
Mouthwash,2222,1509
Moong,2393,2616
Pyjama[GS],5699,5616
Casserole[T],651,5735
Chain Belt[B],3121,496
Rosted Namkeen,4541,2264
Office Stationery.,5591,2322
Tie[M],502,464
Cocoa Powder,2028,2416
Mat[H],384,5726
Eye Care,709,547
Knit Churidaar[L],5499,5775
Jacket[BS],187,5615
Mix Items,194,5231
Murmura,2427,2264
Iron[H],5734,2531
Home Appliances,3827,2531
Premium Set FS[G],2535,5616
Magnet,2550,1908
Pant & Shirt Pcs[M],2567,461
Gunny Bag.,2578,1869
Chyawanprash Flavoured,3463,2265
Clay[T],5767,5761
Jeans B1G1[M],4190,460
Net(I),312,5757
Wallet[L],1854,548
Remote Control Toys,3537,3526
Security System,5566,1871
W-Stole[L],3306,5582
Colour and Paints,5902,1908
Pista,3825,2618
T-shirt[IB],413,5754
Combo Pack NF,2719,2716
T-Shirt FS[G],5809,5616
Jegging[L],2584,42
Software,2369,5309
Maths Geometry Items,5578,5570
Hanky[M],359,464
Goggles[B],1061,496
Look Walker,5600,4204
Pyjama[GJ],138,5618
Blankets & Quilts[H],5724,5723
FLIER,5906,1908
Gift Voucher,5546,4204
Plant and Machinery,3487,1870
Staff T-Shirt Gray,3008,1908
Gloves,5910,5908
Gift Set[I],132,261
Matar,2399,2616
A4 Paper,1014,2322
Kurta Pyjama [BJ],148073674,5617
Kurta Pyjama[BS],53,5615
Socks[G],536,478
Canteen,5909,5908
Sweater[GT],5694,5614
Building Lease Hold Improvement,5802,5311
Mannequins,5556,5312
Mixer Grinder[H],5732,5727
Suit[IB],5789,5754
Fashion Accessories [G],5790,478
Scarf[L],508,548
Casual Shoes[L],5797,175
Jacket[BT],5678,5613
Hanger,1846,224
Repair Civil,5817,5816
Carry Bag-Paper Bag,5493,5491
Signage A5,5586,4204
Slippers[GJ],5867,5850
Brush[I],423,260
Jhabla[I],291,261
Apron(I),390,5751
Panty(I),236,2599
W-Slippers[GT],5714,179
Display Item,5610,2323
Suit Fabric[L],228,465
Slippers[GS],5875,5851
Mix Items-TSO Gift,5968,5967
Comforter[H],5886,5723
Cash Roll(C),2378,2322
Recieving Regester,3592,2322
Nagra[B],1743,178
T-Shirt FS[IG],5947,5755
Cap[G],5918,478
Split,2640,2616
Tea,1941,2414
Pasta,2042,2412
Salt,2639,2615
Talcum Powder,1821,1471
Cakes,2111,2264
Powdered,2201,2621
Baby Oil,4195,273
Custard Powder,2031,2416
Perfume,566,1471
Atta,2633,2619
T-Shirt [BJ],5684,5617
Salwar Suit[L],125,465
Formal Trouser[M],48,460
Casual Set[GT],5691,5614
Mix Men,5232,5231
Capris(GS),5692,5616
Sweatshirt-[M],65,462
Synthetic Print[L],4488,1844
Top FS[G],2591,5616
Chappal[M],159,177
Gloves [B],845,496
Warmer [G],851,1645
Men Sunglasses[M],843,464
Cushions & Covers[H],5725,5723
Home Utilities[H],5733,5728
Rattle,1317,1383
Bleach & Starch,1617,2269
Shirt[BJ],36,5617
Spice Whole,2202,2621
Baba Suit FS[BJ],308,5617
Maida,2635,2619
Chaach,2435,1937
Sweatshirt[IB],4651,5758
Combo Pack S,2720,2717
Wafers,2195,2264
Kardi Oil,2626,2617
Trouser [BS],5671,5615
Chutney,2026,2270
Capri [L],107,42
Sweater[BT],5665,5613
Belt[M],219,464
Jegging[G],3364,5616
Puree,2043,2416
Baby Shampoo,4196,273
T-Shirt FS[BS],5642,5615
A4 Paper Sinage,4146,2322
Furniture Misc,2610,5312
Milk,1950,1937
Shirting Formal,3801,1030
Cooker[H],5929,5738
Mosquito Machine,4073,2269
Carry Bag-SM,1738,5490
Carry Bag-KS,2576,5490
Shirt FS [BS],5669,5615
Sweater[GJ],5695,5618
Anjeer,3812,2618
Note Book,5764,3580
Shorts[GS],5700,5616
Moongfali,3813,2618
Skirt [L],106,42
Lohi [M],5503,462
W-Cap [I],557,5760
Slippers[GT],80,179
Warmer [L],2374,5778
W-Pyjama [M],714,462
Character Toys,3563,3528
Ethnic Winter [M],2672,462
Bandana[M],2275,464
W-Cap [L],551,548
Print AD,4221,4203
Foam Banner,4234,4204
Repair Vehicle,5823,5822
Repair Air Condition,5825,5824
Buds(I),296,2607
Cap(I),186,260
Dress,5907,5908
Fire Safety Equipment,2484,1871
W-Gloves[G],559,478
Pyjama[BJ],5794,5617
Socks[L],382,548
Polyester Carry Bag,5711,5491
CON-Accessories,5901,1908
Carton.,5593,1869
Floater[M],1824,177
MPOS Device,5710,5308
Casual Jackets [M],2328,462
Munakka,3822,2618
Lunch Box[S],5808,5745
Gloves [M],540,464
Chikki,5932,2264
Handloom Saree,5810,1844
Sandle[BS],5860,5849
Sandle[GS],5877,5851
Nail Cutter[I],199,260
Unsitch-Bed Sheet[H],1332,253
Chappal[BJ],5857,5848
Hair Accessories,5969,547
Jar-Glass[H],5843,5745
Gamcha[M],5845,464
Leaflet A5,5544,4204
Egg Boiler[H],5889,5727
W-Socks [B],3302,496
W-PALAZZO[L],5884,5582
Sleepwear Capri[WW],5913,5895
Nipple[I],320,260
W-Pyjama[IG],5948,5749
SMART GADGET-SMART WATCH,5964,5966
Tooth Paste,2224,1509
Face Care,1536,547
Namkeen,1961,2264
Toilet Cleaner,4078,2269
Coordinated Set[IG],2375,5755
Top[GS],5648,5616
Sando[M],25,499
Air Fresheners,1378,2269
Popcorn,2005,2412
Freshners,2266,1940
Deffodil Suit [IB],4326,5758
Detergent Bar,343,2269
Laptop,2282,5308
Night Suit[L],211,5895
Baba Suit[BT],5619,5613
Casual Shirt FS[M],1787,457
Shirt[L],57,174
W-Pyjama[B],1866,5615
Shorts[M],67,499
Chips,2114,2264
Vermicilli,2430,2412
Pain Killer,2441,2654
Hair Gel Sprays and  Creams,739,1468
Gift Set FS[I],2035,261
Music Instruments,5762,3526
Legging[GS],5655,5616
Mix Home Mart,5236,5231
Sweatshirt[BS],5672,5615
Bowl[C],642,5735
Indoor Games,823,3580
Comb & Brushes,1583,1468
Combo Pack F,2718,2715
BOPP.,5598,1869
Nighty[L],105,5895
Chana Dal,2709,2616
Arhar Daal,1734,2616
Green Peas,1858,2616
