store,site_code,st_type,tier,op.date,sqft,store_format,region,zone,fdu.non.fdu,apparel_area,festival
COIMBATORE,101553,P1,,2004-05-24T00:00:00Z,5041,Fashion,TN-4,SOUTH,,4637.72,dc
COIMBATORE- 2,101554,P1,,2007-09-28T00:00:00Z,4020,Fashion,TN-4,SOUTH,,3698.4,dc
VALASARAWAKKAM_BIG MM,101537,P1,,2008-01-28T00:00:00Z,35767,Fashion,TN-1,SOUTH,,32905.64,dc
VELLORE-1_MM,101541,P1,,2008-03-29T00:00:00Z,4825,Fashion,TN-2,SOUTH,,4439,dc
NAGERCOIL,101542,P1,,2008-04-12T00:00:00Z,8600,Fashion,TN-2,SOUTH,,7912,dc
RAMAMURTHY NAGAR,101509,P1,,2008-06-14T00:00:00Z,7300,Fashion,Kar-1,SOUTH,,6716,dc
DAPODI_BIG MM,101531,P1,,2008-07-18T00:00:00Z,18025,Fashion,West-1,SOUTH,,16583,dc
TANJAVORE_MM,101543,P1,,2008-09-27T00:00:00Z,3568,Fashion,TN-3,SOUTH,,3282.56,dc
DAVANGERE,101519,P1,,2009-04-10T00:00:00Z,4650,Fashion,Kar-3,SOUTH,,4278,dc
HABSIGUDA,101562,P1,,2010-07-28T00:00:00Z,9067,Fashion,APTS-4,SOUTH,,8341.64,dc
TRICHY,101544,P1,,2011-03-06T00:00:00Z,15366,Fashion,TN-1,SOUTH,,14136.72,dc
CHIKKADAPALLY,101563,P1,,2011-12-28T00:00:00Z,11465,Fashion,APTS-2,SOUTH,,10547.8,dc
MADURAI,101545,P1,,2012-11-01T00:00:00Z,10776,Fashion,TN-3,SOUTH,,9913.92,dc
CHROMPET_BIG MM,101538,P1,,2013-08-11T00:00:00Z,19003,Fashion,TN-2,SOUTH,,17482.76,dc
SALEM,101546,P1,,2013-09-06T00:00:00Z,15572,Fashion,TN-2,SOUTH,,14326.24,dc
VIZAG,101498,P1,,2013-09-30T00:00:00Z,10597,Fashion,APTS-3,SOUTH,,9749.24,dc
GUNTUR,101499,P1,,2013-10-02T00:00:00Z,11752,Fashion,APTS-3,SOUTH,,10811.84,dc
DILSUKHNAGAR,101564,P1,,2013-10-15T00:00:00Z,14580,Fashion,APTS-2,SOUTH,,13413.6,dc
TIRUNELVELI,101547,P1,,2013-10-27T00:00:00Z,11877,Fashion,TN-2,SOUTH,,10926.84,dc
SAHAKARA NAGAR,101510,P1,,2014-03-13T00:00:00Z,14467,Fashion,Kar-2,SOUTH,,13309.64,dc
BELGAUM,101529,P1,,2014-04-06T00:00:00Z,10485,Fashion,West-1,SOUTH,,9646.2,dc
WARRANGAL,101568,P1,,2014-04-15T00:00:00Z,15067,Fashion,APTS-1,SOUTH,,13861.64,dc
KOLATHUR,101551,P1,,2014-05-30T00:00:00Z,11535,Fashion,TN-2,SOUTH,,10612.2,dc
KAMMANAHALLI,101527,P1,,2014-06-28T00:00:00Z,11797,Fashion,Kar-1,SOUTH,,10853.24,dc
VELLORE,101548,P1,,2014-07-04T00:00:00Z,14696,Fashion,TN-2,SOUTH,,13520.32,dc
THRISSUR,101530,P1,,2014-08-28T00:00:00Z,14818,Fashion,Ker-1,SOUTH,,13632.56,dc
FORUM SUJANA MALL,101557,P1,,2014-09-04T00:00:00Z,10113,Fashion,APTS-1,SOUTH,,9303.96,dc
TUMKUR,101521,P1,,2014-10-11T00:00:00Z,14582,Fashion,Kar-1,SOUTH,,13415.44,dc
TIRUPATI,101500,P1,,2014-10-19T00:00:00Z,11081,Fashion,APTS-4,SOUTH,,10194.52,dc
MALL OF MYSORE,101511,P1,,2015-08-08T00:00:00Z,11671,Fashion,Kar-2,SOUTH,,10737.32,dc
HOSUR,101536,P1,,2015-10-15T00:00:00Z,14093,Fashion,Kar-4,SOUTH,,12965.56,dc
SINHAGUD,101533,P1,,2015-10-16T00:00:00Z,9735,Fashion,West-1,SOUTH,,8956.2,dc
BASAVESHWARNAGAR,101522,P1,,2015-10-17T00:00:00Z,9322,Fashion,Kar-4,SOUTH,,8576.24,dc
PONDICHERY,101571,P1,,2016-08-05T00:00:00Z,8246,Fashion,TN-2,SOUTH,,7586.32,dc
SANGLI,101534,P1,,2016-08-06T00:00:00Z,6314,Fashion,West-1,SOUTH,,5808.88,dc
AS RAO NAGAR,101558,P1,,2016-08-23T00:00:00Z,11800,Fashion,APTS-2,SOUTH,,10856,dc
RAJAHMUNDRY,101501,P1,,2016-10-01T00:00:00Z,7200,Fashion,APTS-3,SOUTH,,6624,dc
BEL ROAD,101512,P1,,2016-10-06T00:00:00Z,7032,Fashion,Kar-2,SOUTH,,6469.44,dc
DAVANAGERE MALL,101523,P1,,2017-01-14T00:00:00Z,6504,Fashion,Kar-3,SOUTH,,5983.68,dc
GT MALL,101528,P1,,2017-05-12T00:00:00Z,7843,Fashion,Kar-3,SOUTH,,7215.56,dc
ATTAPUR,101559,P1,,2017-06-16T00:00:00Z,10800,Fashion,APTS-1,SOUTH,,9936,dc
VIJAYAWADA,101502,P1,,2017-08-04T00:00:00Z,9660,Fashion,APTS-3,SOUTH,,8887.2,dc
TRICHY2,101549,P1,,2017-09-15T00:00:00Z,9578,Fashion,TN-1,SOUTH,,8811.76,dc
VAISHNAVI SAPPHIRE,101513,P1,,2017-09-16T00:00:00Z,8033,Fashion,Kar-2,SOUTH,,7390.36,dc
PROZONE COIMBATORE,101555,P1,,2017-09-16T00:00:00Z,7154,Fashion,TN-4,SOUTH,,6581.68,dc
MALKAJGIRI,101560,P1,,2017-09-24T00:00:00Z,8589,Fashion,APTS-4,SOUTH,,7901.88,dc
KHAMMAM,101570,P1,,2017-09-30T00:00:00Z,10482,Fashion,APTS-4,SOUTH,,9643.44,dc
ASCENDUS,101524,P1,,2017-10-07T00:00:00Z,12230,Fashion,Kar-3,SOUTH,,11251.6,dc
MADEENAGUDA,101561,P1,,2017-10-13T00:00:00Z,12437,Fashion,APTS-1,SOUTH,,11442.04,dc
KUMAR PACIFIC,101532,P1,,2017-10-13T00:00:00Z,9218,Fashion,West-1,SOUTH,,8480.56,dc
ELURU,101503,P1,,2017-11-10T00:00:00Z,9900,Fashion,APTS-3,SOUTH,,9108,dc
PARKLANE,101565,P1,,2017-12-21T00:00:00Z,9000,Fashion,APTS-1,SOUTH,,8280,dc
KAKINADA,101504,P1,,2018-01-10T00:00:00Z,9000,Fashion,APTS-3,SOUTH,,8280,dc
BELLARY,101514,P1,,2018-01-24T00:00:00Z,10800,Fashion,Kar-2,SOUTH,,9936,dc
CANARA MALL,101515,P1,,2018-01-26T00:00:00Z,8292,Fashion,Kar-1,SOUTH,,7628.64,dc
SANTOSH NAGAR,101566,P1,,2018-02-02T00:00:00Z,11435,Fashion,APTS-4,SOUTH,,10520.2,dc
VASCO,101507,P1,,2018-02-23T00:00:00Z,12285,Fashion,Kar-2,SOUTH,,11302.2,dc
NELLORE,101505,P1,,2018-03-29T00:00:00Z,10312,Fashion,APTS-2,SOUTH,,9487.04,dc
NAGARBHAVI,101517,P1,,2018-04-06T00:00:00Z,8355,Fashion,Kar-2,SOUTH,,7686.6,dc
VIDYARANYAPURA,101516,P1,,2018-04-06T00:00:00Z,10099,Fashion,Kar-4,SOUTH,,9291.08,dc
WARRANGAL_MGM CIRCLE,101569,P1,,2018-04-29T00:00:00Z,6791,Fashion,APTS-1,SOUTH,,6247.72,dc
BIJAPUR,101518,P1,,2018-07-21T00:00:00Z,8607,Fashion,Kar-4,SOUTH,,7918.44,dc
HSR,101525,P1,,2018-08-24T00:00:00Z,11560,Fashion,Kar-2,SOUTH,,10635.2,dc
NASHIK,101535,P1,,2018-08-30T00:00:00Z,9273,Fashion,West-1,SOUTH,,8531.16,dc
MOGAPPAIR,101540,P1,,2018-10-10T00:00:00Z,8572,Fashion,TN-1,SOUTH,,7886.24,dc
DINDIGAL,101550,P1,,2018-10-24T00:00:00Z,9307,Fashion,TN-3,SOUTH,,8562.44,dc
FUN REPUBLIC CBE,101556,P1,,2018-10-28T00:00:00Z,8047,Fashion,TN-4,SOUTH,,7403.24,dc
SARATH CITY MALL,101567,P1,,2018-11-03T00:00:00Z,7321,Fashion,APTS-1,SOUTH,,6735.32,dc
